battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1578,no,1.9,yes,2,yes,37,0.1,138,four,19,411,1226,2458,19,16,3,yes,no,yes,2
1689,no,1.8,no,17,no,24,0.3,127,three,18,954,1200,2766,7,2,7,no,yes,yes,3
1488,no,0.5,no,1,no,39,0.8,112,five,6,1528,1647,3054,14,10,19,no,no,no,3
1313,yes,1.8,yes,4,no,9,0.4,105,one,6,416,1308,3791,11,10,6,no,yes,yes,3
1715,no,1,yes,4,yes,31,0.5,83,,17,638,1615,625,17,6,13,yes,no,no,0
1442,no,1,yes,0,no,27,0.1,192,three,19,231,687,2227,6,5,20,yes,yes,no,1
528,no,1.7,no,12,yes,6,0.8,142,two,15,574,637,3256,9,8,6,yes,yes,no,2
1523,yes,1.8,no,6,yes,11,0.1,129,one,8,148,1606,707,19,8,19,yes,yes,no,0
1133,no,1.4,no,3,no,42,0.1,199,five,12,730,1543,1457,18,12,20,yes,no,yes,1
1718,yes,2.5,yes,14,yes,6,0.1,183,five,16,564,980,3755,7,1,8,yes,yes,yes,3
1330,no,0.5,no,0,no,38,1,183,seven,1,1290,1441,1733,9,0,11,yes,no,yes,1
1799,yes,0.5,no,0,no,49,0.4,107,four,2,632,1383,720,12,2,11,yes,yes,yes,0
633,yes,2.2,no,0,yes,49,0.1,139,,1,529,1009,3560,11,1,16,yes,yes,yes,2
724,no,2.7,yes,0,no,44,0.5,187,seven,0,1273,1754,2311,7,6,7,yes,no,no,2
822,yes,0.5,no,0,yes,51,0.3,157,six,20,667,860,3846,10,1,3,yes,no,no,3
1918,no,1.9,no,2,no,10,0.6,110,five,10,1170,1543,1717,7,1,16,yes,yes,yes,2
1891,no,2.8,no,7,yes,37,0.4,129,seven,14,169,1108,3704,8,6,11,yes,no,no,3
1373,yes,1,yes,2,no,50,0.2,127,seven,12,105,673,3800,8,3,14,yes,no,no,3
862,yes,0.8,yes,3,no,23,0.4,165,two,15,793,1758,278,16,3,11,no,no,yes,0
1273,no,1,no,3,yes,48,0.4,99,four,15,490,886,1767,18,15,11,yes,yes,no,1
957,yes,2.5,no,4,no,7,0.8,107,five,10,1201,1485,1846,12,5,7,yes,no,yes,1
1617,yes,1.3,yes,3,yes,30,0.7,105,two,4,246,1038,829,9,0,10,yes,no,no,0
893,no,2.5,yes,0,no,55,0.6,183,two,1,417,946,2986,7,1,6,no,yes,yes,2
1210,no,0.5,no,0,no,63,0.1,93,five,0,1177,1462,2394,17,9,7,no,no,no,2
708,yes,2.7,yes,0,yes,63,1,195,,7,78,654,2169,6,5,7,yes,yes,yes,1
835,no,1.1,yes,2,no,7,0.2,101,four,7,323,1604,1181,13,5,15,yes,yes,yes,0
1450,yes,2.7,yes,9,no,19,0.6,131,one,17,707,1882,575,15,9,12,no,no,no,0
973,yes,1.5,no,5,yes,57,0.2,190,seven,16,457,1816,2977,6,4,2,yes,no,no,2
601,yes,1.4,no,4,yes,4,0.1,154,four,13,356,765,532,12,8,10,yes,yes,yes,0
507,yes,0.5,yes,1,no,32,0.5,141,seven,11,936,1398,1702,17,0,5,yes,yes,yes,1
564,no,1.8,yes,0,yes,51,0.5,168,three,1,912,1980,1074,14,8,15,yes,yes,no,0
1559,yes,1.6,yes,6,yes,6,0.5,162,six,17,179,1559,3352,9,1,3,yes,yes,yes,3
754,no,0.5,yes,7,yes,59,0.7,178,seven,10,1914,1928,1027,6,3,5,yes,no,no,1
728,no,2.7,yes,0,no,25,0.2,88,four,1,526,1529,2039,5,1,12,yes,yes,yes,1
1431,yes,0.5,no,0,yes,56,0.6,191,one,1,156,952,461,7,3,8,yes,no,no,0
767,no,1.5,no,4,no,28,0.7,175,four,10,344,1517,527,10,0,15,no,yes,no,0
1722,no,2.6,no,8,no,18,0.8,177,two,16,865,1741,3271,14,0,15,yes,no,yes,3
1992,yes,1.6,no,5,yes,57,1,100,two,15,1552,1596,606,9,3,4,yes,yes,yes,1
1876,no,0.5,no,10,yes,40,0.3,86,six,14,546,1564,2513,10,8,16,yes,yes,no,3
1054,no,1.1,yes,10,yes,38,0.4,136,six,12,1097,1222,1675,18,4,14,yes,yes,yes,1
